State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine,Population
FL,2021.0,23101.0,77172.0,10129.0,2059.0,4570.0,68580.0,1840.0,21349.0,10057.0,1191.0,3067.0,190.0,1552.0,9463.0,20038.0,35643.0,12521.0,3905.0,7203.0,46197.0,12398.0,1.0,9924.0,2508.0,458.0,66.0,3520.0,3850.0,21538187
GA,2019.0,10082.0,12950.0,9023.0,89.0,4168.0,22013.0,568.0,1152.0,7296.0,64.0,1367.0,32.0,84.0,3674.0,11233.0,16543.0,9900.0,192.0,5926.0,25294.0,5202.0,1.0,9405.0,95.0,359.0,40.0,192.0,3362.0,10711908
GA,2020.0,8902.0,12335.0,8143.0,72.0,3717.0,20629.0,429.0,800.0,7837.0,41.0,1021.0,45.0,73.0,2286.0,8776.0,12424.0,6699.0,189.0,4684.0,19559.0,4170.0,0.0,7958.0,14.0,268.0,30.0,192.0,1443.0,10711908
GA,2021.0,10001.0,13426.0,9189.0,96.0,4587.0,23402.0,511.0,991.0,6103.0,2178.0,1188.0,30.0,63.0,2602.0,9586.0,13806.0,6902.0,161.0,5037.0,19511.0,4563.0,2.0,7105.0,1120.0,254.0,39.0,166.0,1759.0,10711908
HI,2019.0,2801.0,12810.0,0.0,99.0,9.0,4889.0,1313.0,552.0,740.0,0.0,184.0,123.0,99.0,7719.0,3549.0,5862.0,251.0,96.0,107.0,4761.0,3062.0,0.0,639.0,0.0,42.0,5.0,79.0,1180.0,1455271
HI,2020.0,2272.0,8403.0,4.0,161.0,54.0,4965.0,606.0,421.0,678.0,0.0,162.0,72.0,149.0,3673.0,2370.0,4085.0,357.0,406.0,63.0,3686.0,1990.0,0.0,414.0,1.0,32.0,3.0,398.0,793.0,1455271
HI,2021.0,2571.0,8163.0,182.0,274.0,59.0,5193.0,447.0,775.0,1099.0,0.0,174.0,66.0,109.0,2888.0,2571.0,4433.0,203.0,620.0,62.0,3628.0,2168.0,19.0,460.0,0.0,25.0,3.0,248.0,782.0,1455271
ID,2019.0,3806.0,10807.0,902.0,293.0,2060.0,10134.0,450.0,1345.0,1126.0,862.0,398.0,80.0,287.0,3011.0,3819.0,6739.0,2873.0,514.0,1250.0,8446.0,4287.0,0.0,581.0,524.0,66.0,7.0,502.0,685.0,1839106
ID,2020.0,3239.0,7705.0,1076.0,160.0,1363.0,9203.0,392.0,1010.0,936.0,635.0,253.0,72.0,163.0,1179.0,3342.0,5153.0,2281.0,442.0,918.0,7188.0,3287.0,1.0,523.0,442.0,52.0,7.0,451.0,438.0,1839106
ID,2021.0,3216.0,8055.0,761.0,192.0,615.0,8666.0,407.0,1753.0,436.0,388.0,246.0,29.0,178.0,882.0,3244.0,5360.0,2192.0,461.0,978.0,7139.0,3545.0,0.0,344.0,158.0,77.0,7.0,449.0,363.0,1839106
IL,2019.0,5753.0,7414.0,8246.0,107.0,950.0,18746.0,354.0,107.0,589.0,30.0,767.0,5.0,107.0,2289.0,4448.0,3635.0,13280.0,263.0,1346.0,18120.0,1895.0,0.0,491.0,46.0,253.0,16.0,254.0,1543.0,12812508
IL,2020.0,5433.0,5950.0,9280.0,97.0,916.0,18017.0,343.0,134.0,721.0,15.0,638.0,11.0,97.0,1313.0,4083.0,2326.0,14661.0,238.0,934.0,18064.0,1470.0,0.0,529.0,9.0,222.0,18.0,240.0,919.0,12812508
IL,2021.0,7262.0,6255.0,9706.0,119.0,1361.0,19651.0,420.0,362.0,705.0,81.0,878.0,4.0,118.0,1364.0,4728.0,2549.0,12596.0,273.0,1167.0,17144.0,1816.0,0.0,638.0,220.0,233.0,1.0,275.0,861.0,12812508
IN,2019.0,12326.0,19816.0,4851.0,408.0,3923.0,24021.0,1098.0,3696.0,4983.0,581.0,1175.0,91.0,349.0,4628.0,9139.0,16245.0,3648.0,927.0,3388.0,16199.0,8237.0,0.0,4656.0,173.0,215.0,95.0,773.0,2684.0,6785528
IN,2020.0,9389.0,15761.0,5200.0,356.0,2772.0,21351.0,977.0,2374.0,4817.0,472.0,866.0,54.0,265.0,2806.0,6011.0,11628.0,2926.0,716.0,2475.0,11277.0,6627.0,1.0,3422.0,74.0,157.0,49.0,578.0,1580.0,6785528
IN,2021.0,10380.0,18575.0,5687.0,368.0,4083.0,23057.0,1008.0,1948.0,5439.0,1412.0,1197.0,92.0,347.0,3395.0,6923.0,12657.0,3046.0,956.0,3042.0,12174.0,7150.0,64.0,3023.0,410.0,219.0,92.0,822.0,1713.0,6785528
IA,2019.0,4194.0,6333.0,211.0,327.0,1249.0,7882.0,518.0,880.0,751.0,62.0,646.0,14.0,319.0,1216.0,3059.0,3671.0,992.0,590.0,1407.0,5379.0,2858.0,0.0,250.0,27.0,68.0,4.0,608.0,508.0,3190369
IA,2020.0,3909.0,5783.0,359.0,354.0,485.0,7775.0,488.0,853.0,929.0,53.0,330.0,1.0,352.0,913.0,2490.0,3400.0,897.0,574.0,623.0,4446.0,2535.0,0.0,136.0,0.0,41.0,1.0,569.0,383.0,3190369
IA,2021.0,3903.0,6486.0,607.0,390.0,617.0,8120.0,556.0,724.0,739.0,10.0,349.0,146.0,387.0,746.0,3571.0,3621.0,1391.0,613.0,681.0,5299.0,2648.0,0.0,356.0,0.0,59.0,34.0,593.0,381.0,3190369
KS,2019.0,6044.0,5402.0,5023.0,217.0,266.0,11185.0,634.0,2.0,2365.0,160.0,471.0,6.0,224.0,1848.0,4782.0,7309.0,4600.0,606.0,194.0,9438.0,3896.0,0.0,2406.0,10.0,52.0,6.0,589.0,1106.0,2937880
KS,2020.0,4762.0,4242.0,4629.0,154.0,270.0,9630.0,349.0,3.0,2648.0,246.0,309.0,1.0,154.0,880.0,3490.0,4941.0,4064.0,489.0,293.0,7335.0,2590.0,0.0,2178.0,20.0,46.0,7.0,481.0,639.0,2937880
KS,2021.0,4837.0,4295.0,5070.0,208.0,709.0,10599.0,344.0,86.0,2326.0,114.0,410.0,7.0,194.0,886.0,4011.0,5011.0,3877.0,596.0,1208.0,7957.0,2804.0,5.0,1909.0,117.0,57.0,10.0,586.0,784.0,2937880
KY,2019.0,6453.0,11310.0,3349.0,155.0,580.0,11610.0,338.0,1790.0,3127.0,137.0,517.0,11.0,132.0,3893.0,6861.0,10684.0,4383.0,305.0,813.0,10717.0,3288.0,0.0,6713.0,54.0,165.0,11.0,246.0,1440.0,4505836
KY,2020.0,7216.0,8362.0,3174.0,90.0,399.0,9932.0,376.0,2220.0,4026.0,84.0,329.0,16.0,84.0,2267.0,5941.0,7848.0,2971.0,275.0,826.0,7679.0,3257.0,3.0,5592.0,11.0,103.0,1.0,236.0,1237.0,4505836
KY,2021.0,7677.0,8702.0,4005.0,120.0,537.0,11028.0,370.0,1960.0,3586.0,64.0,449.0,7.0,94.0,2617.0,6097.0,8572.0,2866.0,242.0,1037.0,7710.0,3550.0,0.0,4940.0,0.0,140.0,1.0,196.0,1330.0,4505836
LA,2019.0,4724.0,17040.0,1790.0,183.0,3018.0,9586.0,384.0,2787.0,4885.0,462.0,1370.0,229.0,128.0,6616.0,6706.0,12675.0,2582.0,584.0,3985.0,8531.0,3706.0,19.0,7605.0,161.0,322.0,112.0,434.0,4693.0,4657757
LA,2020.0,3488.0,11891.0,2403.0,124.0,1529.0,8162.0,293.0,1843.0,6370.0,250.0,679.0,88.0,91.0,2002.0,4260.0,9252.0,2263.0,486.0,2524.0,5693.0,2607.0,63.0,6721.0,196.0,253.0,100.0,345.0,2647.0,4657757
LA,2021.0,4022.0,18341.0,2246.0,239.0,1380.0,9407.0,1056.0,3879.0,7937.0,275.0,814.0,33.0,177.0,1744.0,5216.0,12857.0,1876.0,723.0,2270.0,5968.0,3281.0,7.0,8560.0,63.0,279.0,27.0,635.0,2364.0,4657757
ME,2019.0,2317.0,1816.0,2482.0,49.0,171.0,6152.0,200.0,2.0,126.0,9.0,128.0,2.0,23.0,182.0,841.0,892.0,2791.0,75.0,32.0,3528.0,729.0,0.0,83.0,8.0,17.0,0.0,59.0,119.0,1362359
ME,2020.0,1995.0,1225.0,1829.0,57.0,154.0,4936.0,218.0,0.0,23.0,1.0,93.0,2.0,46.0,122.0,518.0,655.0,1441.0,67.0,33.0,2027.0,615.0,0.0,30.0,2.0,11.0,0.0,57.0,50.0,1362359
ME,2021.0,2048.0,1293.0,1884.0,30.0,377.0,4992.0,222.0,3.0,19.0,17.0,128.0,0.0,29.0,152.0,602.0,545.0,1339.0,51.0,195.0,2010.0,596.0,0.0,24.0,18.0,4.0,1.0,37.0,63.0,1362359
MD,2019.0,2521.0,5853.0,1371.0,100.0,485.0,6043.0,343.0,40.0,1995.0,65.0,341.0,17.0,94.0,1476.0,2539.0,3842.0,1157.0,335.0,1678.0,4740.0,2247.0,0.0,1241.0,58.0,56.0,1.0,326.0,838.0,6177224
MD,2020.0,2112.0,5372.0,2160.0,115.0,303.0,6290.0,220.0,37.0,2216.0,41.0,305.0,27.0,116.0,860.0,2153.0,2621.0,1235.0,358.0,923.0,3531.0,1705.0,0.0,1164.0,17.0,41.0,0.0,348.0,607.0,6177224
MD,2021.0,2503.0,5525.0,1580.0,120.0,257.0,6137.0,258.0,77.0,1698.0,26.0,259.0,31.0,116.0,1255.0,2330.0,2809.0,1114.0,399.0,1217.0,3804.0,1839.0,2.0,888.0,11.0,28.0,2.0,393.0,771.0,6177224
MA,2019.0,4153.0,3085.0,3065.0,384.0,419.0,9079.0,354.0,204.0,123.0,20.0,74.0,3.0,308.0,741.0,1768.0,542.0,3440.0,415.0,1565.0,6343.0,368.0,0.0,174.0,7.0,16.0,0.0,399.0,403.0,7029917
MA,2020.0,2498.0,2210.0,3299.0,303.0,321.0,7236.0,229.0,162.0,66.0,18.0,65.0,0.0,256.0,476.0,1135.0,591.0,2079.0,364.0,1445.0,4799.0,254.0,0.0,83.0,2.0,20.0,2.0,314.0,277.0,7029917
MA,2021.0,2936.0,2539.0,3508.0,184.0,466.0,7834.0,274.0,298.0,87.0,29.0,63.0,2.0,133.0,634.0,1192.0,445.0,2447.0,229.0,1758.0,4852.0,251.0,0.0,111.0,9.0,21.0,1.0,187.0,534.0,7029917
MI,2019.0,12114.0,13035.0,2695.0,1486.0,1046.0,23207.0,722.0,464.0,1735.0,153.0,622.0,17.0,1527.0,1835.0,6389.0,7466.0,7754.0,2646.0,1315.0,15331.0,4034.0,1.0,1101.0,100.0,131.0,5.0,2695.0,1917.0,10077331
MI,2020.0,9845.0,10289.0,2389.0,871.0,1244.0,20381.0,709.0,297.0,918.0,48.0,504.0,7.0,867.0,1249.0,4400.0,5009.0,6490.0,1634.0,1258.0,11950.0,3073.0,0.0,561.0,33.0,84.0,2.0,1596.0,1385.0,10077331
MI,2021.0,10979.0,11985.0,2860.0,922.0,1008.0,22515.0,692.0,489.0,361.0,135.0,548.0,5.0,918.0,1195.0,5446.0,6074.0,7407.0,1787.0,844.0,14096.0,3551.0,0.0,472.0,16.0,110.0,4.0,1798.0,1455.0,10077331
MN,2019.0,3312.0,4582.0,2447.0,33.0,1661.0,8835.0,383.0,496.0,1324.0,1.0,243.0,7.0,41.0,552.0,1846.0,1867.0,2484.0,1.0,399.0,5031.0,1219.0,1.0,218.0,10.0,26.0,0.0,40.0,122.0,5706494
MN,2020.0,3768.0,4481.0,3102.0,18.0,1222.0,9971.0,299.0,464.0,1160.0,3.0,259.0,13.0,8.0,278.0,1750.0,1443.0,3225.0,2.0,393.0,5466.0,973.0,8.0,222.0,3.0,41.0,1.0,3.0,113.0,5706494
MN,2021.0,3905.0,4348.0,3650.0,39.0,2094.0,10719.0,311.0,793.0,1003.0,108.0,289.0,2.0,4.0,282.0,1594.0,1337.0,3052.0,3.0,467.0,5242.0,975.0,0.0,328.0,6.0,61.0,3.0,0.0,108.0,5706494
MS,2019.0,2401.0,3490.0,1495.0,56.0,137.0,5208.0,83.0,33.0,804.0,264.0,231.0,18.0,51.0,972.0,5145.0,7304.0,3996.0,234.0,335.0,5872.0,1211.0,0.0,8402.0,3.0,163.0,32.0,257.0,1221.0,2961279
MS,2020.0,2355.0,2997.0,1084.0,56.0,197.0,4593.0,62.0,66.0,879.0,113.0,245.0,60.0,54.0,547.0,4246.0,6407.0,3381.0,180.0,468.0,5675.0,1131.0,0.0,7020.0,3.0,212.0,20.0,210.0,575.0,2961279
MS,2021.0,3138.0,3457.0,1237.0,54.0,152.0,5432.0,130.0,259.0,969.0,121.0,458.0,35.0,52.0,558.0,4424.0,6728.0,3561.0,117.0,335.0,5983.0,1221.0,13.0,6887.0,80.0,252.0,25.0,118.0,452.0,2961279
MO,2019.0,4912.0,5935.0,2902.0,3.0,1024.0,12234.0,856.0,228.0,192.0,4.0,411.0,24.0,92.0,626.0,5139.0,7171.0,4454.0,19.0,1019.0,12918.0,2920.0,2.0,1165.0,1.0,155.0,18.0,73.0,604.0,6154913
MO,2020.0,5665.0,5001.0,2436.0,70.0,1217.0,12111.0,1187.0,211.0,111.0,9.0,365.0,20.0,26.0,431.0,4670.0,5858.0,2638.0,202.0,682.0,10109.0,2501.0,0.0,933.0,0.0,94.0,8.0,71.0,514.0,6154913
MO,2021.0,7459.0,4918.0,3109.0,22.0,2931.0,14397.0,1628.0,872.0,173.0,19.0,511.0,15.0,34.0,627.0,4928.0,5117.0,3170.0,22.0,2842.0,11026.0,2971.0,0.0,866.0,180.0,118.0,5.0,97.0,469.0,6154913
MT,2019.0,2876.0,3500.0,343.0,33.0,528.0,5750.0,509.0,205.0,84.0,108.0,174.0,1.0,35.0,474.0,2210.0,3612.0,1458.0,123.0,446.0,4347.0,3031.0,0.0,161.0,121.0,26.0,3.0,75.0,170.0,1084225
MT,2020.0,2540.0,2993.0,366.0,29.0,453.0,5271.0,467.0,179.0,43.0,137.0,106.0,5.0,24.0,293.0,1774.0,2827.0,974.0,65.0,421.0,3204.0,2490.0,0.0,125.0,27.0,10.0,2.0,50.0,133.0,1084225
MT,2021.0,2835.0,2921.0,398.0,29.0,1041.0,5487.0,454.0,97.0,66.0,616.0,90.0,6.0,35.0,249.0,1909.0,2705.0,1037.0,147.0,990.0,3404.0,2676.0,0.0,168.0,195.0,19.0,1.0,50.0,202.0,1084225
NE,2019.0,2203.0,3549.0,231.0,1.0,333.0,3772.0,355.0,4.0,151.0,0.0,189.0,6.0,0.0,1855.0,1174.0,2347.0,587.0,1.0,331.0,2387.0,1719.0,0.0,30.0,0.0,26.0,1.0,0.0,319.0,1961504
NE,2020.0,1649.0,2675.0,522.0,0.0,352.0,3623.0,273.0,0.0,125.0,0.0,126.0,4.0,1.0,1048.0,965.0,2091.0,830.0,1.0,304.0,2501.0,1472.0,0.0,95.0,0.0,29.0,1.0,0.0,264.0,1961504
NE,2021.0,1565.0,2291.0,640.0,1.0,197.0,3589.0,242.0,42.0,57.0,0.0,125.0,2.0,1.0,635.0,1105.0,2155.0,647.0,4.0,304.0,2160.0,1668.0,4.0,62.0,0.0,35.0,3.0,1.0,215.0,1961504
NV,2019.0,2558.0,7853.0,1568.0,570.0,1165.0,8165.0,388.0,1696.0,1073.0,16.0,299.0,13.0,565.0,1280.0,3744.0,11850.0,1401.0,2162.0,2808.0,10479.0,5141.0,0.0,2509.0,30.0,108.0,12.0,2162.0,1723.0,3104614
NV,2020.0,1852.0,6343.0,1336.0,584.0,945.0,7733.0,316.0,999.0,598.0,26.0,303.0,7.0,580.0,825.0,1974.0,7576.0,1129.0,2256.0,1865.0,6523.0,3624.0,0.0,1502.0,13.0,71.0,7.0,2255.0,1057.0,3104614
NV,2021.0,2037.0,7176.0,1245.0,419.0,1384.0,6715.0,318.0,1088.0,744.0,6.0,399.0,15.0,418.0,984.0,2312.0,8808.0,971.0,1571.0,2277.0,5636.0,4055.0,0.0,1606.0,7.0,97.0,45.0,1568.0,1234.0,3104614
NH,2019.0,2309.0,1063.0,1013.0,36.0,93.0,3999.0,187.0,12.0,59.0,35.0,52.0,0.0,22.0,162.0,936.0,677.0,1417.0,41.0,158.0,2291.0,620.0,0.0,126.0,7.0,21.0,0.0,35.0,109.0,1377529
