State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine
SD,2020,341,319,27,0,0,513,13,0,154,0,7,0,0,11,356,135,61,3,5,424,13,1,161,0,2,0,0,5
SD,2021,362,495,79,0,18,530,18,22,334,6,5,0,0,35,327,478,136,3,22,609,13,0,271,0,1,0,0,12
TN,2019,6187,14292,2013,54,3370,14192,507,2749,3441,2753,767,30,63,2404,10003,18820,3595,281,5354,15247,5216,137,13385,1266,391,49,301,2717
TN,2020,4962,11169,1701,61,3978,12129,704,2425,3132,2281,618,42,53,1353,9031,13482,2615,189,6226,12711,4256,17,12411,1322,430,17,195,1472
TN,2021,5508,11440,2012,100,4197,12978,1107,2061,3096,1499,751,22,58,1385,9852,14982,2129,235,4453,12151,4741,6,10010,1109,415,18,171,1578
TX,2019,22853,51155,19163,2308,5851,48424,2169,15344,14125,2358,4256,381,2213,10889,34527,75452,28565,2872,9049,68388,26704,3,37373,1646,1879,202,2570,11400
TX,2020,14847,37808,22200,721,5609,45439,1591,9104,19753,1895,2616,243,670,4284,22858,48365,29867,1788,10347,53359,16273,6,44267,2774,1297,137,1598,3860
TX,2021,16254,37195,22732,740,5724,48910,1394,6334,15066,1829,3516,128,693,4734,24068,48134,27449,1980,8795,50895,13366,9,33836,1412,1399,108,1857,5234
UT,2019,2980,9546,3533,1170,2090,9596,821,1764,4148,1851,456,4,472,1327,3258,9253,4540,2126,863,10230,6327,0,1413,335,82,4,1310,440
UT,2020,3218,7620,3675,602,796,8792,522,1391,3721,523,267,9,439,737,2480,6983,3220,1453,540,7573,4376,13,1299,231,52,3,1167,327
UT,2021,4439,9034,2552,404,2033,9260,686,2273,3840,554,273,5,381,948,3210,6739,3305,1153,1492,7865,4637,0,1282,356,64,3,1111,384
VA,2019,5142,5622,6977,2,425,12894,464,276,2478,57,454,8,15,1502,4070,4436,7551,0,959,11645,2764,1,1956,29,111,5,17,672
VA,2020,4915,4912,8663,3,302,14291,412,306,2714,5,387,25,25,592,2989,3663,8399,10,870,11694,2344,0,1687,5,131,6,20,321
VA,2021,5171,5155,7500,29,425,13424,462,0,2991,0,467,35,21,575,3498,3593,6985,38,626,9919,2393,0,1833,0,105,8,22,267
VT,2019,1562,921,737,17,189,2936,99,3,78,31,60,0,16,205,504,281,499,14,48,1012,200,0,24,4,2,0,13,94
VT,2020,1259,775,831,7,130,2504,89,1,62,26,52,0,7,171,368,186,248,8,60,628,142,0,9,18,22,0,8,80
VT,2021,1449,814,958,2,162,2892,97,12,19,56,110,4,0,204,450,193,402,0,75,820,137,0,7,24,5,0,0,63
WA,2019,9676,24108,11551,479,1845,33481,1542,886,6137,254,1138,50,461,2559,4684,11384,6700,761,1105,14401,6952,2,1324,1,88,11,755,904
WA,2020,8564,17387,9535,413,1576,29317,1244,1381,3469,229,930,33,398,1715,3023,7946,3197,616,720,8400,5187,11,1086,2,54,5,618,621
WA,2021,9463,18403,9864,436,1649,29452,1365,1485,2845,167,1092,40,413,1814,3297,8240,3303,687,879,8258,5471,2,740,12,66,6,662,681
WI,2019,8585,15653,3019,707,1143,19121,1922,913,2408,120,677,24,777,2103,3751,8206,4848,796,1045,9413,5050,51,1195,24,128,2,776,1193
WI,2020,7427,13607,3074,618,1369,20456,1217,812,1075,241,598,6,595,1570,2989,6005,4899,618,833,9301,4180,0,663,26,48,0,596,785
WI,2021,7216,12731,2636,565,2081,18836,1250,950,1057,311,566,16,556,1491,2699,6388,4152,625,1307,8611,4588,0,545,285,79,1,610,997
WV,2019,1718,4903,10,3,76,4433,62,3,1237,205,400,1,2,483,2676,5097,164,9,202,3196,949,2,3566,125,77,6,8,184
WV,2020,1208,5146,30,0,85,3455,90,15,1767,86,362,33,1,630,2250,4109,172,9,102,2916,919,1,2707,72,63,5,0,159
WV,2021,1588,6060,524,0,166,5072,85,192,1854,65,503,0,1,581,2605,5049,1781,1,331,5306,1459,2,2428,86,95,12,0,197
WY,2019,1080,1874,364,26,1140,2499,196,70,241,724,115,4,29,476,831,1112,779,60,1735,1975,1467,1,114,752,28,0,65,159
WY,2020,819,1458,394,24,1112,2184,155,72,187,745,45,4,23,218,526,1102,804,58,750,1662,1024,0,57,397,11,1,58,113
WY,2021,894,1240,557,19,1120,2362,175,17,118,605,54,4,19,169,614,801,660,58,1034,1510,960,0,59,398,7,2,59,113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
